# TYPEIND SORTI CIND NXYZMOVE NBADTHIS NBADMIN
# TYPEIND SORTI CIND NXYZMOVE ROTXANG ROTYANG ROTZANG NBADTHIS NBADMIN
1 1 2 1 0 0 0 6 6
1 1 2 1 -10 -10 -10 55 6
1 1 2 1 -10 -10 0 33 6
1 1 2 1 -10 -10 10 20 6
1 1 2 1 -10 0 -10 45 6
1 1 2 1 -10 0 0 23 6
1 1 2 1 -10 0 10 19 6
1 1 2 1 -10 10 -10 86 6
1 1 2 1 -10 10 0 33 6
1 1 2 1 -10 10 10 50 6
1 1 2 1 0 -10 -10 33 6
1 1 2 1 0 -10 0 32 6
1 1 2 1 0 -10 10 26 6
1 1 2 1 0 0 -10 56 6
1 1 2 1 0 0 0 6 6
1 1 2 1 0 0 10 29 6
1 1 2 1 0 10 -10 18 6
1 1 2 1 0 10 0 63 6
1 1 2 1 0 10 10 50 6
1 1 2 1 10 -10 -10 32 6
1 1 2 1 10 -10 0 59 6
1 1 2 1 10 -10 10 2 2
1 1 2 1 10 0 -10 81 2
1 1 2 1 10 0 0 11 2
1 1 2 1 10 0 10 33 2
1 1 2 1 10 10 -10 40 2
1 1 2 1 10 10 0 64 2
1 1 2 1 10 10 10 69 2
1 1 2 2 -10 -10 -10 171 2
1 1 2 2 -10 -10 0 310 2
1 1 2 2 -10 -10 10 243 2
1 1 2 2 -10 0 -10 253 2
1 1 2 2 -10 0 0 217 2
1 1 2 2 -10 0 10 207 2
1 1 2 2 -10 10 -10 95 2
1 1 2 2 -10 10 0 82 2
1 1 2 2 -10 10 10 153 2
1 1 2 2 0 -10 -10 130 2
1 1 2 2 0 -10 0 217 2
1 1 2 2 0 -10 10 266 2
1 1 2 2 0 0 -10 89 2
1 1 2 2 0 0 0 95 2
1 1 2 2 0 0 10 123 2
1 1 2 2 0 10 -10 1 1
1 1 2 2 0 10 0 10 1
1 1 2 2 0 10 10 73 1
1 1 2 2 10 -10 -10 86 1
1 1 2 2 10 -10 0 151 1
1 1 2 2 10 -10 10 158 1
1 1 2 2 10 0 -10 9 1
1 1 2 2 10 0 0 28 1
1 1 2 2 10 0 10 67 1
1 1 2 2 10 10 -10 2 1
1 1 2 2 10 10 0 11 1
1 1 2 2 10 10 10 43 1
1 1 2 3 -10 -10 -10 21 1
1 1 2 3 -10 -10 0 3 1
1 1 2 3 -10 -10 10 0 0
