Frame	Min_Distance
0	20.971
1	19.655
2	22.260
3	21.161
4	18.369
5	17.254
6	21.736
7	17.163
8	17.698
9	15.884
10	20.428
11	20.890
12	19.109
13	21.981
14	21.735
15	18.538
16	16.829
17	9.279
18	9.155
19	9.401
20	6.658
21	3.761
22	2.474
23	2.314
24	2.429
25	2.217
26	2.038
27	2.164
28	2.243
29	2.107
30	2.044
31	2.076
32	2.035
33	1.994
34	2.089
35	2.076
36	2.086
37	2.066
38	2.056
39	2.178
40	2.153
41	2.339
42	2.069
43	2.103
44	2.066
45	2.070
46	2.039
47	2.160
48	2.052
49	2.287
50	2.221
51	2.241
52	2.025
53	2.155
54	2.211
55	2.496
56	1.907
57	1.968
58	2.175
59	2.163
60	2.163
61	2.025
62	1.822
63	2.268
64	1.895
65	2.317
66	2.050
67	2.077
68	2.054
69	2.000
70	2.108
71	2.036
72	2.064
73	2.087
74	2.106
75	2.116
76	2.109
77	2.094
78	2.158
79	2.190
80	2.337
81	2.095
82	2.245
83	1.923
84	2.086
85	2.173
86	2.268
87	2.077
88	2.248
89	2.215
90	2.020
91	2.140
92	2.198
93	1.878
94	1.968
95	1.988
96	2.336
97	2.173
98	2.103
99	2.192
100	2.331
101	2.312
102	2.278
103	2.085
104	2.254
105	2.489
106	2.216
107	2.163
108	2.010
109	2.156
110	2.103
111	2.060
112	1.914
113	2.026
114	1.974
115	1.929
116	2.218
117	2.113
118	2.304
119	2.142
120	2.218
121	2.198
122	2.118
123	2.289
124	2.376
125	2.132
126	2.463
127	2.188
128	2.225
129	2.060
130	2.212
131	2.233
132	2.193
133	2.183
134	2.207
135	2.350
136	2.189
137	2.559
138	2.304
139	2.208
140	2.491
141	2.056
142	2.383
143	2.399
144	2.051
145	2.209
146	2.361
147	2.567
148	2.146
149	2.339
150	2.254
151	2.379
152	1.991
153	2.474
154	2.059
155	2.347
156	2.149
157	2.484
158	2.193
159	2.426
160	2.566
161	2.042
162	2.075
163	2.379
164	2.009
165	2.351
166	2.271
167	2.402
168	2.375
169	2.297
170	2.179
171	2.082
172	2.168
173	2.474
174	2.234
175	2.241
176	2.122
177	2.477
178	2.166
179	2.221
180	2.129
181	2.171
182	2.180
183	2.182
184	2.349
185	2.152
186	2.114
187	2.097
188	2.216
189	2.248
190	2.283
191	2.286
192	2.067
193	2.273
194	2.022
195	2.157
196	2.112
197	2.324
198	2.007
199	2.331
200	2.150
201	2.213
202	2.113
203	2.016
204	2.215
205	2.147
206	2.170
207	2.253
208	2.108
209	2.264
210	2.108
211	2.036
212	2.125
213	2.321
214	2.146
215	2.236
216	2.208
217	2.400
218	2.166
219	2.404
220	2.099
221	2.167
222	2.281
223	2.165
224	2.327
225	2.411
226	2.150
227	2.535
228	2.039
229	2.447
230	2.285
231	2.336
232	2.013
233	2.118
234	2.127
235	2.427
236	2.402
237	2.059
238	2.522
239	2.554
240	2.232
241	2.211
242	2.079
243	2.228
244	2.228
245	2.498
246	2.050
247	2.196
248	2.054
249	2.116
250	1.935
251	2.266
252	2.107
253	2.183
254	2.360
255	2.038
256	2.182
257	2.366
258	2.354
259	1.959
260	2.323
261	2.269
262	2.211
263	2.207
264	2.220
265	2.237
266	2.199
267	2.123
268	2.193
269	2.649
270	2.140
271	2.078
272	2.080
273	2.258
274	2.414
275	2.428
276	2.070
277	2.390
278	2.417
279	2.205
280	2.023
281	2.230
282	2.095
283	2.112
284	2.048
285	2.239
286	2.088
287	2.133
288	2.187
289	2.079
290	2.282
291	2.165
292	2.224
293	2.363
294	2.171
295	2.375
296	2.034
297	2.039
298	2.303
299	2.214
300	2.090
301	2.188
302	2.251
303	2.271
304	2.122
305	2.176
306	2.129
307	2.247
308	2.256
309	2.130
310	2.210
311	2.125
312	2.277
313	2.152
314	2.077
315	2.174
316	1.981
317	2.288
318	2.248
319	2.080
320	2.230
321	2.163
322	1.935
323	2.099
324	2.131
325	2.237
326	1.877
327	2.118
328	2.174
329	1.975
330	1.985
331	2.174
332	2.223
333	2.312
334	2.092
335	2.061
336	1.940
337	2.338
338	2.303
339	2.056
340	2.250
341	2.290
342	1.929
343	2.262
344	2.071
345	2.088
346	2.040
347	2.245
348	2.108
349	2.119
350	2.226
351	2.110
352	2.019
353	2.298
354	2.429
355	2.455
356	2.239
357	2.357
358	2.201
359	2.233
360	2.450
361	2.257
362	2.152
363	2.509
364	2.041
365	2.253
366	2.252
367	2.076
368	1.934
369	2.235
370	2.184
371	2.144
372	2.197
373	2.187
374	2.047
375	2.374
376	2.342
377	2.067
378	2.015
379	2.282
380	2.097
381	2.143
382	2.221
383	2.237
384	2.296
385	2.112
386	2.368
387	2.048
388	2.140
389	2.190
390	2.328
391	2.299
392	2.149
393	2.175
394	2.297
395	2.146
396	2.085
397	2.049
398	2.329
399	2.241
400	2.236
401	2.241
402	2.218
403	2.208
404	2.448
405	2.242
406	1.968
407	2.236
408	2.033
409	2.132
410	2.172
411	2.125
412	2.102
413	2.034
414	2.258
415	2.206
416	2.374
417	2.058
418	2.251
419	2.016
420	2.327
421	2.148
422	2.070
423	2.164
424	2.226
425	2.002
426	2.108
427	2.295
428	1.946
429	1.930
430	2.093
431	2.102
432	2.069
433	2.065
434	2.138
435	2.090
436	2.265
437	2.178
438	1.954
439	2.032
440	2.256
441	1.997
442	2.006
443	2.170
444	1.977
445	2.342
446	2.115
447	2.093
448	2.202
449	2.332
450	2.261
451	2.252
452	2.144
453	2.421
454	2.184
455	1.978
456	2.328
457	2.189
458	2.048
459	2.331
460	2.443
461	2.377
462	2.118
463	2.216
464	2.261
465	2.362
466	2.206
467	2.097
468	2.060
469	2.182
470	2.231
471	2.089
472	2.298
473	2.125
474	2.107
475	2.124
476	2.050
477	2.114
478	1.969
479	2.162
480	2.275
481	2.305
482	1.721
483	1.747
484	2.207
485	1.980
486	2.095
487	2.294
488	2.165
489	2.085
490	2.003
491	1.966
492	2.036
493	2.226
494	2.182
495	1.964
496	2.355
497	2.046
498	2.153
499	2.080
500	2.084
501	1.978
502	1.970
503	2.285
504	2.063
505	2.213
506	2.102
507	2.146
508	2.096
509	2.125
510	2.274
511	2.280
512	2.236
513	1.871
514	2.033
515	2.057
516	2.120
517	1.949
518	2.236
519	2.190
520	2.211
521	1.944
522	2.002
523	2.125
524	2.121
525	2.237
526	2.173
527	2.124
528	2.241
529	2.005
530	2.230
531	2.173
532	1.925
533	2.127
534	2.107
535	2.185
536	2.171
537	2.232
538	2.156
539	2.182
540	2.045
541	2.075
542	2.036
543	2.192
544	2.109
545	2.136
546	2.208
547	2.160
548	2.217
549	2.192
550	2.176
551	2.300
552	2.222
553	2.065
554	2.122
555	1.999
556	1.922
557	2.000
558	2.130
559	2.214
560	2.010
561	2.112
562	2.224
563	2.074
564	2.056
565	2.061
566	2.069
