Frame	Min_Distance
0	41.042
1	33.463
2	32.438
3	27.653
4	34.220
5	29.678
6	30.325
7	33.267
8	31.629
9	30.455
10	31.720
11	30.020
12	29.614
13	32.360
14	29.201
15	32.623
16	37.840
17	31.562
18	26.565
19	30.863
20	26.043
21	36.457
22	29.505
23	26.362
24	22.650
25	17.511
26	12.380
27	13.832
28	17.717
29	21.716
30	25.779
31	24.685
32	24.455
33	28.125
34	21.598
35	13.830
36	9.944
37	8.541
38	7.869
39	6.423
40	5.976
41	2.691
42	2.439
43	2.538
44	2.437
45	2.429
46	2.194
47	2.101
48	2.198
49	2.154
50	2.162
51	1.986
52	2.218
53	2.145
54	2.175
55	2.138
56	2.081
57	2.209
58	2.093
59	2.175
60	2.056
61	2.075
62	2.172
63	2.058
64	2.075
65	2.138
66	2.113
67	2.108
68	1.996
69	2.163
70	2.342
71	2.178
72	2.288
73	2.122
74	1.965
75	2.077
76	1.870
77	2.127
78	2.157
79	2.030
80	2.081
81	2.214
82	2.096
83	2.263
84	1.837
85	2.018
86	2.135
87	2.353
88	1.535
89	2.094
90	2.162
91	1.919
92	2.177
93	2.302
94	2.136
95	2.205
96	1.960
97	2.187
98	2.333
99	2.314
100	2.335
101	2.088
102	1.990
103	2.223
104	2.008
105	2.022
106	2.081
107	2.142
108	2.128
109	2.107
110	2.101
111	2.025
112	2.121
113	2.109
114	1.973
115	2.053
116	2.172
117	2.134
118	2.181
119	1.888
120	2.113
121	2.114
122	2.287
123	2.404
124	2.051
125	2.472
126	2.105
127	2.113
128	2.203
129	2.160
130	2.102
131	2.394
132	2.558
133	2.184
134	2.244
135	2.219
136	2.408
137	2.489
138	2.182
139	1.839
140	2.028
141	2.264
142	2.220
143	2.001
144	2.197
145	2.212
146	2.213
147	2.062
148	1.965
149	2.187
150	1.923
151	2.181
152	2.041
153	2.081
154	2.020
155	2.057
156	2.048
157	1.872
158	2.173
159	2.300
160	2.281
161	2.201
162	2.378
163	2.102
164	2.161
165	2.005
166	2.260
167	2.230
168	2.326
169	2.221
170	2.038
171	2.035
172	2.156
173	2.081
174	2.058
175	2.006
