GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,18179126.67,2734.42,1173.19,4144589.06,41.06,-65.96,-727.85,-5661.08,691.56,5566.61,-824.77,51.55,22327467.69,-773.22,22326694.47
2,4807549.54,1153.14,1124.84,1312903.53,38.74,-57.04,-733.59,-5622.15,695.0,5515.82,-833.28,52.0,6122567.83,-781.28,6121786.55
3,7619154.17,1717.57,1123.6,1252329.2,31.92,-51.44,-733.11,-5606.91,690.2,5484.25,-817.55,54.13,8874139.45,-763.41,8873376.03
4,12981479.96,2662.7,1259.25,2341868.18,36.48,-62.31,-753.63,-5624.0,673.68,5492.96,-810.8,53.2,15327033.26,-757.61,15326275.65
5,13972275.02,2035.5,1233.85,2979192.8,36.71,-57.98,-719.89,-5637.75,660.9,5486.25,-833.14,53.54,16954505.41,-779.6,16953725.8
6,11752698.7,1665.94,1241.08,3272770.31,46.92,-58.69,-694.42,-5643.08,662.42,5523.5,-825.48,54.61,15028212.68,-770.87,15027441.81
7,11315907.03,2455.43,1138.16,2789019.46,43.38,-67.05,-724.7,-5646.49,692.93,5520.04,-822.36,54.19,14108338.2,-768.18,14107570.02
8,4837852.1,1620.27,1172.55,760051.29,32.3,-65.83,-728.88,-5617.64,667.66,5471.78,-822.42,52.57,5600455.59,-769.85,5599685.74
9,7775410.18,1355.4,1194.4,2009050.1,40.43,-63.99,-721.27,-5601.29,688.5,5508.31,-855.38,53.93,9786860.78,-801.45,9786059.33
10,14406716.9,1980.98,1272.13,2883765.52,40.31,-66.92,-726.5,-5626.33,664.86,5516.31,-856.22,53.19,17293537.27,-803.04,17292734.24
11,7778195.95,1097.36,1215.37,1905675.79,38.96,-58.94,-727.15,-5611.7,670.17,5529.19,-873.78,53.96,9686025.0,-819.82,9685205.18
12,25617883.6,2819.49,1269.89,4389308.37,33.79,-63.71,-718.23,-5596.28,671.18,5516.64,-878.44,55.62,30011124.74,-822.82,30010301.92
13,23958087.87,3218.56,1222.16,4062118.83,45.28,-64.44,-713.35,-5578.98,665.09,5486.62,-891.24,56.88,28024487.64,-834.35,28023653.29
14,19293590.48,2591.31,1234.38,3608860.75,40.56,-58.11,-690.22,-5610.71,659.78,5531.2,-890.04,55.34,22906149.42,-834.7,22905314.72
15,9527304.22,2334.18,1169.17,2961014.75,38.47,-62.31,-713.15,-5527.3,670.37,5438.48,-887.53,55.62,12491666.89,-831.91,12490834.98
16,9682687.8,1469.3,1181.77,1261064.91,37.63,-61.69,-749.83,-5603.89,700.99,5529.41,-879.13,51.41,10946256.41,-827.73,10945428.68
17,8665735.93,1380.54,1194.02,2191750.93,36.92,-59.57,-716.3,-5620.64,691.0,5534.18,-856.37,53.72,10859927.03,-802.65,10859124.38
18,4457985.67,985.3,1132.03,463858.58,40.19,-58.45,-714.99,-5628.47,700.26,5532.76,-856.17,53.11,4923832.9,-803.06,4923029.84
19,387.1,749.5,1131.24,91.9,51.58,-62.0,-726.92,-5569.54,671.07,5532.86,-891.75,54.02,2256.8,-837.74,1419.06
20,425.2,727.83,1140.41,95.67,36.34,-71.64,-730.76,-5598.74,685.32,5546.2,-879.09,51.69,2255.83,-827.4,1428.43
21,403.7,748.83,1133.2,87.65,35.28,-64.84,-731.85,-5596.59,686.37,5529.36,-866.27,51.74,2231.1,-814.53,1416.57
22,399.5,821.8,1131.4,99.85,43.4,-58.96,-754.06,-5604.95,683.62,5574.72,-894.18,51.15,2336.33,-843.03,1493.3
23,401.26,763.58,1122.09,91.2,40.15,-76.73,-742.44,-5649.45,683.41,5570.27,-846.45,50.18,2203.35,-796.27,1407.08
24,403.12,802.24,1137.76,97.35,39.48,-58.01,-751.76,-5646.02,694.01,5553.41,-834.99,49.02,2271.57,-785.98,1485.6
25,400.61,782.84,1129.01,95.01,41.94,-60.28,-747.8,-5639.52,684.32,5564.84,-848.5,49.92,2250.97,-798.58,1452.39
26,426.72,794.6,1135.99,96.15,40.69,-70.74,-747.93,-5604.16,699.27,5527.57,-855.02,49.07,2298.14,-805.95,1492.19
27,414.07,780.86,1129.45,95.7,45.91,-58.59,-770.71,-5627.68,670.98,5545.81,-845.47,49.15,2225.81,-796.32,1429.49
28,419.95,819.38,1166.9,97.75,38.73,-63.1,-741.6,-5586.18,685.33,5470.42,-823.2,49.06,2307.57,-774.14,1533.43
29,390.62,793.89,1122.01,86.49,46.02,-54.71,-770.0,-5563.08,674.94,5467.2,-845.95,49.38,2193.39,-796.57,1396.82
30,409.76,752.05,1150.65,98.84,38.79,-67.43,-751.03,-5631.7,711.8,5518.56,-810.6,48.08,2230.29,-762.52,1467.77
31,416.0,810.98,1135.88,101.07,34.58,-68.6,-743.45,-5565.93,679.03,5440.46,-835.11,50.81,2240.02,-784.3,1455.73
32,396.04,775.99,1110.54,91.74,36.96,-56.15,-753.03,-5596.98,688.39,5496.97,-846.3,51.48,2190.48,-794.82,1395.66
33,390.82,716.25,1131.3,82.59,39.99,-63.69,-760.56,-5588.53,686.4,5506.49,-848.63,49.35,2141.07,-799.28,1341.79
34,368.28,784.11,1119.56,91.14,32.03,-54.85,-754.91,-5613.92,695.29,5544.13,-855.39,49.76,2210.87,-805.63,1405.24
35,391.04,773.77,1144.78,95.36,43.69,-57.38,-736.93,-5641.48,695.94,5517.25,-816.72,50.45,2226.03,-766.27,1459.75
36,397.02,793.63,1133.72,97.38,39.49,-66.68,-745.81,-5602.2,686.9,5519.73,-857.04,49.49,2253.18,-807.55,1445.63
37,407.11,763.39,1130.23,96.09,49.3,-60.61,-761.89,-5579.6,677.15,5499.92,-866.99,49.5,2221.1,-817.5,1403.6
38,418.83,792.34,1117.05,93.16,48.29,-58.87,-744.48,-5610.66,691.05,5504.08,-844.69,50.42,2250.79,-794.26,1456.53
39,443.66,800.78,1141.2,104.1,45.93,-63.71,-735.8,-5604.24,684.45,5497.24,-828.59,50.36,2313.62,-778.23,1535.39
40,424.06,765.86,1125.52,102.14,37.21,-66.42,-769.71,-5585.52,678.04,5476.51,-829.36,49.16,2187.69,-780.2,1407.49
41,416.34,792.2,1149.73,95.73,44.61,-73.07,-752.01,-5606.97,675.66,5515.08,-831.29,49.44,2257.3,-781.86,1475.44
42,414.05,837.02,1138.66,95.97,40.72,-63.81,-741.8,-5589.63,691.71,5502.2,-830.3,50.45,2325.08,-779.85,1545.23
43,423.26,810.38,1111.49,98.99,43.31,-73.8,-730.0,-5544.97,720.68,5491.76,-880.02,50.96,2351.1,-829.06,1522.04
44,403.4,806.73,1136.26,89.17,34.16,-65.01,-741.95,-5537.73,689.78,5483.82,-882.35,52.01,2298.62,-830.35,1468.28
