frame,mol2
0,NA
1,6.508
2,6.171
3,5.147
4,6.144
5,6.188
6,5.646
7,5.541
8,5.161
9,3.958
10,3.526
11,0.000
12,2.783
13,2.983
14,4.534
15,5.309
16,4.498
17,4.979
18,5.658
19,5.941
20,7.110
21,8.443
22,0.012
23,0.968
24,1.172
25,1.247
26,1.122
27,1.433
28,0.178
29,9.979
30,9.545
31,9.457
32,9.996
33,9.330
34,0.305
35,0.601
36,1.748
37,1.628
38,2.045
39,1.754
40,1.685
41,3.194
42,3.673
43,3.288
44,3.257
45,3.519
46,3.057
47,2.899
48,1.675
49,2.434
50,2.384
51,3.093
52,3.315
53,3.320
54,2.965
55,3.593
56,3.736
57,3.506
58,3.851
59,4.608
60,4.008
61,3.543
62,3.070
63,3.123
64,4.030
65,4.240
66,4.692
67,3.808
68,3.596
69,3.925
70,4.239
71,3.973
72,4.132
73,4.528
74,5.155
75,5.680
76,4.795
77,4.567
78,4.609
79,5.021
80,4.832
81,4.222
82,3.909
83,4.331
84,4.009
85,3.674
86,3.858
87,4.077
88,4.078
89,3.647
90,3.816
91,3.476
92,3.311
93,3.631
94,4.099
95,3.473
96,3.424
97,3.669
98,3.031
99,3.631
100,12.975
101,13.960
102,13.621
103,13.838
104,13.137
105,13.097
106,12.464
107,13.282
108,13.264
109,13.206
110,12.829
111,12.856
112,13.600
113,13.391
114,13.019
115,12.854
116,13.311
117,13.172
118,13.516
119,13.692
120,13.640
121,13.058
122,13.259
123,13.013
124,13.599
125,13.908
126,13.436
127,13.504
128,13.221
129,12.913
130,12.787
131,12.710
132,13.181
133,13.517
134,13.160
135,13.279
136,13.587
137,14.044
138,14.643
139,14.624
140,14.529
141,13.981
142,14.374
143,13.879
144,14.440
145,14.302
146,14.441
147,14.421
148,14.272
149,14.200
150,14.907
151,15.745
152,15.663
153,14.814
154,15.047
155,15.229
156,14.255
157,14.518
158,14.387
159,13.997
160,14.801
161,14.866
162,14.831
163,15.201
164,14.775
165,15.027
166,15.015
167,14.776
168,15.745
169,15.517
170,15.609
171,15.339
172,15.603
173,15.524
174,15.425
175,15.442
176,14.787
177,15.172
178,15.157
179,14.877
180,14.445
181,14.105
182,13.884
183,13.235
184,13.377
185,13.102
186,13.685
187,14.160
188,14.342
189,14.873
190,15.365
191,15.627
192,15.190
193,15.406
194,15.563
195,14.911
196,14.904
197,15.359
198,14.770
199,14.935
200,15.470
201,14.884
202,14.991
203,15.343
204,15.350
205,15.757
206,15.655
207,15.691
208,16.457
209,16.584
210,16.794
211,16.035
212,15.993
213,16.321
214,16.331
215,16.544
216,16.141
217,16.752
218,16.665
219,16.794
220,16.954
221,16.770
222,16.702
223,17.145
224,16.986
225,16.829
226,16.571
227,16.306
228,16.711
229,16.866
230,16.870
231,17.103
232,16.503
233,17.272
234,16.959
235,16.975
236,17.135
237,16.919
238,17.175
239,17.846
240,17.817
241,17.591
242,16.932
243,16.632
244,16.600
245,16.614
246,16.910
247,16.986
248,16.981
249,16.901
250,16.698
251,16.474
252,16.654
253,16.397
254,16.716
255,17.114
256,17.615
257,17.761
258,17.343
259,17.706
260,17.434
261,17.462
262,17.291
263,17.293
264,17.366
265,17.125
266,17.000
267,17.392
268,17.430
269,17.004
270,16.909
271,16.490
272,16.201
273,16.961
274,17.182
275,17.069
276,16.682
277,17.185
278,16.447
279,16.555
280,16.637
281,16.327
282,16.074
283,16.633
284,16.989
285,16.836
286,16.965
287,17.321
288,17.316
289,16.711
290,15.986
291,15.956
292,16.391
293,16.123
294,16.717
295,16.802
296,16.645
297,16.664
298,17.406
299,16.759
300,16.276
301,16.006
302,15.851
303,15.386
304,15.831
305,16.026
306,16.162
307,15.884
308,15.534
309,15.459
310,15.129
311,15.357
312,15.373
313,15.051
314,14.942
315,14.773
316,14.666
317,14.977
318,15.439
319,15.277
320,15.030
321,15.007
322,15.519
323,15.392
324,15.513
325,15.797
326,15.600
327,15.987
328,16.143
329,15.780
330,15.997
331,16.029
332,16.102
333,15.478
334,16.121
335,15.759
336,16.100
337,15.919
338,15.943
339,16.090
340,15.968
341,16.289
342,16.035
343,16.133
344,16.545
345,16.254
346,16.145
347,15.886
348,16.101
349,16.067
350,16.191
351,15.987
352,16.471
353,16.360
354,15.899
355,15.849
356,15.948
357,15.907
358,15.407
359,15.367
360,15.628
361,15.442
362,15.495
363,15.602
364,15.718
365,15.895
366,15.780
367,15.578
368,15.147
369,15.644
370,16.002
371,16.245
372,16.148
373,15.569
374,15.901
375,16.032
376,16.362
377,16.596
378,16.270
379,16.788
380,16.508
381,16.391
382,16.244
383,16.040
384,16.053
385,16.004
386,15.480
387,15.423
388,15.497
389,15.510
390,15.717
391,15.268
392,16.016
393,15.664
394,15.432
395,14.811
396,15.112
397,15.133
398,14.846
399,15.032
400,15.079
401,15.103
402,15.174
403,15.450
404,14.919
405,15.120
406,15.046
407,14.925
408,15.070
409,14.902
410,15.152
411,15.421
412,15.479
413,15.558
414,15.896
415,16.014
416,16.037
417,16.068
418,16.402
419,16.025
420,16.191
421,16.286
422,15.960
423,15.914
424,15.597
425,15.754
426,15.961
427,15.979
428,15.893
429,16.092
430,16.412
431,16.069
432,16.364
433,16.276
434,16.690
435,16.308
436,16.589
437,16.492
438,16.421
439,16.615
440,16.588
441,16.530
442,16.709
443,16.740
444,16.821
445,16.738
446,16.740
447,16.744
448,16.480
449,16.857
450,16.578
451,16.462
452,16.838
453,16.506
454,16.925
455,16.720
456,16.498
457,16.159
458,15.974
459,16.141
460,16.316
461,16.332
462,16.543
463,16.360
464,16.460
465,16.831
466,16.614
467,16.816
468,16.589
469,16.306
470,16.352
471,16.526
472,16.490
473,17.118
474,17.936
475,17.500
476,18.078
477,17.759
478,17.007
479,17.252
480,17.388
481,16.838
482,16.606
483,16.749
484,16.779
485,17.058
486,17.096
487,16.366
488,16.487
489,16.387
490,16.409
491,16.489
492,16.827
493,16.459
494,16.212
495,16.710
496,16.732
497,16.943
498,17.470
499,17.301
500,17.141
501,17.562
502,17.888
503,17.590
504,17.764
505,17.594
506,17.675
507,17.645
508,17.449
509,17.282
510,17.220
511,17.266
512,17.147
513,17.479
514,17.189
515,16.995
516,17.069
517,17.203
518,17.191
519,16.697
520,16.814
521,16.816
522,17.277
523,16.950
524,16.963
525,17.149
526,17.381
527,17.351
528,17.318
529,17.433
530,17.558
531,17.650
532,18.081
533,17.567
534,17.697
535,17.347
536,18.053
537,17.736
538,17.576
539,16.957
540,16.716
541,17.009
542,17.084
543,17.450
544,16.903
545,17.341
546,17.827
547,17.615
548,17.410
549,17.242
550,16.880
551,17.115
552,16.836
553,16.962
554,16.793
555,16.367
556,16.264
557,16.337
558,16.448
559,16.671
560,16.357
561,16.600
562,16.813
563,16.718
564,16.360
565,16.578
566,16.947
567,16.284
568,16.572
569,16.169
570,16.388
571,15.887
572,16.060
573,16.253
574,15.914
575,16.032
576,15.950
577,16.126
578,16.286
579,15.934
580,16.189
581,16.597
582,16.432
583,16.541
584,16.511
585,16.571
586,16.838
587,16.527
588,16.805
589,16.713
590,16.499
591,16.521
592,16.527
593,16.007
594,16.066
595,16.055
596,16.182
597,16.351
598,16.223
599,16.160
600,16.351
601,16.250
602,16.204
603,16.162
604,16.395
605,16.214
606,16.075
607,16.197
608,16.191
609,16.397
610,16.229
611,16.231
612,15.809
613,15.805
614,16.035
615,15.835
616,15.866
617,15.861
618,15.996
619,16.105
620,15.899
621,15.854
622,16.026
623,15.738
624,15.659
625,15.801
626,16.060
627,15.627
628,15.578
629,16.083
630,15.855
631,15.882
632,16.073
633,16.043
634,16.002
635,16.675
636,16.164
637,15.980
638,16.044
639,16.614
640,16.509
641,16.504
642,16.003
643,16.267
644,15.962
645,16.131
646,15.880
647,15.992
648,16.209
649,16.145
650,16.228
651,15.840
652,16.507
653,16.134
654,16.224
655,16.517
656,16.407
657,16.335
658,16.142
659,16.170
660,15.534
661,15.823
662,15.949
663,15.820
664,15.902
665,16.021
666,16.081
667,15.980
668,16.242
669,16.062
670,16.063
671,16.662
672,16.381
673,16.096
674,16.091
675,16.395
676,16.363
677,16.653
678,16.516
679,16.163
680,16.418
681,16.198
682,16.175
683,15.907
684,16.083
685,16.267
686,15.902
687,16.196
688,16.405
689,16.314
690,16.152
691,15.961
692,16.160
693,15.811
694,15.566
695,15.405
696,15.707
697,15.670
698,16.161
699,15.978
700,16.177
701,16.220
702,16.145
703,15.675
704,16.046
705,15.690
706,16.137
707,16.414
708,15.951
709,16.572
710,16.424
711,15.639
712,16.042
713,15.686
714,15.976
715,16.001
716,16.016
717,16.173
718,16.287
719,16.101
720,16.072
721,16.108
722,16.412
723,16.057
724,16.093
725,15.811
726,16.211
727,16.288
728,16.831
729,16.646
730,16.432
731,16.039
732,16.441
733,16.192
734,16.000
735,16.186
736,16.253
737,15.875
738,15.803
739,16.156
740,16.158
741,16.233
742,16.485
743,16.435
744,16.236
745,16.361
746,16.242
747,16.045
748,16.287
749,15.800
750,15.628
751,15.774
752,16.014
753,15.789
754,16.310
755,15.722
756,15.733
757,15.574
758,15.357
759,15.527
760,15.402
761,15.549
762,15.578
763,15.566
764,15.664
765,15.340
766,15.777
767,15.768
768,15.583
769,16.175
770,16.261
771,16.305
772,15.639
773,15.840
774,16.040
775,15.572
776,15.687
777,15.588
778,16.151
779,16.153
780,15.909
781,15.653
782,16.309
783,15.838
784,15.768
785,15.816
786,15.904
787,15.770
788,15.893
789,15.865
790,15.764
791,15.603
792,15.534
793,15.659
794,16.089
795,16.647
796,16.040
797,16.330
798,16.115
799,16.915
800,16.582
801,16.129
802,16.681
803,16.755
804,16.621
805,16.399
806,16.709
807,16.233
808,15.811
809,16.082
810,16.411
811,16.320
812,16.315
813,16.544
814,16.440
815,16.344
816,16.346
817,16.134
818,15.935
819,16.081
820,15.722
821,15.573
822,15.656
823,15.606
824,16.035
825,16.156
826,15.765
827,16.073
828,15.862
829,15.654
830,15.948
831,15.944
832,16.280
833,15.985
834,15.958
835,15.685
836,16.031
837,16.265
838,15.975
839,16.660
840,16.286
841,16.093
842,15.703
843,15.494
844,15.546
845,15.774
846,15.540
847,15.784
848,15.740
849,15.632
850,15.538
851,15.594
852,15.501
853,15.853
854,15.616
855,16.060
856,15.805
857,16.429
858,16.223
859,16.357
860,15.932
861,15.894
862,15.861
863,16.521
864,16.106
865,16.036
866,16.288
867,16.297
868,16.209
869,16.203
870,15.901
871,15.958
872,15.817
873,15.713
874,15.994
875,15.919
876,16.327
877,17.185
878,16.507
879,16.910
880,16.608
881,16.786
882,17.177
883,16.939
884,16.961
885,16.689
886,16.106
887,16.664
888,17.098
889,17.195
890,17.454
891,17.309
892,17.250
893,17.035
894,17.112
895,17.474
896,17.397
897,18.005
898,17.426
899,17.888
900,17.658
901,17.865
902,18.092
903,18.206
904,17.797
905,17.149
906,17.249
907,17.102
908,17.167
909,16.987
910,17.261
911,17.129
912,18.128
913,17.345
914,17.293
915,17.239
916,17.495
917,17.807
918,17.410
919,17.680
920,17.175
921,17.186
922,16.987
923,17.161
924,17.456
925,17.225
926,16.884
927,17.308
928,17.289
929,17.955
930,17.791
931,18.007
932,17.527
933,17.574
934,17.562
935,17.401
936,17.392
937,17.654
938,17.595
939,17.934
940,17.664
941,17.500
942,17.506
943,17.397
944,16.996
945,17.271
946,17.770
947,17.170
948,17.297
949,17.282
950,17.350
951,16.904
952,17.035
953,17.012
954,17.122
955,16.596
956,17.054
957,17.615
958,17.398
959,17.567
960,17.886
961,17.929
962,17.735
963,17.811
964,17.782
965,18.216
966,18.157
967,18.166
968,17.606
969,17.978
970,18.510
971,17.966
972,18.260
973,18.694
974,18.227
975,18.233
976,18.015
977,17.787
978,18.158
979,17.973
980,17.826
981,18.246
982,17.984
983,18.110
984,17.853
985,18.019
986,17.870
987,17.580
988,18.408
989,18.207
990,17.630
991,17.397
992,17.665
993,17.759
994,17.774
995,17.577
996,17.984
997,17.927
998,17.533
999,17.539
1000,17.794
1001,18.096

