GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,957.19,2282.5,2606.29,262.5,192.16,-200.79,-1700.19,-22004.92,946.18,20309.39,-3279.9,190.07,3650.31,-3089.82,560.49
2,1069.22,2367.92,2626.6,252.18,192.05,-230.71,-1751.56,-21947.45,885.91,20301.7,-3282.59,191.02,3765.85,-3091.56,674.28
3,1029.5,2371.84,2600.81,242.22,174.54,-235.24,-1761.24,-21965.37,925.71,20339.26,-3309.29,190.7,3722.02,-3118.59,603.43
4,1004.14,2362.34,2582.89,248.25,161.15,-233.89,-1755.14,-22080.38,912.65,20350.19,-3273.01,192.31,3552.19,-3080.71,471.49
5,972.14,2315.37,2600.19,227.04,160.28,-240.25,-1709.51,-22093.57,937.73,20427.25,-3310.21,191.7,3596.67,-3118.51,478.15
6,1050.55,2363.53,2583.63,250.5,172.6,-235.66,-1748.73,-22084.12,926.34,20302.68,-3212.9,187.96,3581.33,-3024.94,556.39
7,1032.03,2342.37,2552.78,250.42,171.57,-253.59,-1751.22,-21998.41,911.16,20330.77,-3273.76,189.86,3587.88,-3083.9,503.98
8,1006.72,2374.49,2568.11,252.42,173.21,-248.88,-1738.26,-21994.46,917.38,20307.36,-3286.75,188.72,3618.11,-3098.03,520.07
9,1026.99,2372.09,2594.13,241.34,183.16,-266.02,-1742.55,-21951.59,926.69,20250.5,-3296.09,189.43,3634.75,-3106.66,528.1
10,958.71,2348.99,2587.79,244.5,165.92,-256.05,-1777.0,-21968.91,904.18,20305.35,-3286.93,183.96,3513.49,-3102.97,410.53
11,1004.75,2262.24,2575.91,231.03,177.65,-250.41,-1757.76,-21922.83,900.32,20303.53,-3352.35,186.68,3524.43,-3165.67,358.76
12,1037.66,2408.05,2604.05,240.75,174.58,-256.45,-1742.82,-21878.53,928.59,20192.02,-3321.88,186.38,3707.9,-3135.5,572.4
13,1000.39,2305.31,2551.33,239.88,183.13,-270.41,-1768.9,-21875.77,928.29,20274.82,-3336.81,182.89,3568.06,-3153.92,414.15
14,988.98,2494.03,2618.71,258.44,189.72,-245.3,-1815.27,-21857.33,919.57,20256.4,-3308.39,179.92,3807.96,-3128.47,679.49
15,1042.9,2456.41,2575.83,247.12,169.47,-262.82,-1784.62,-21975.83,907.21,20212.59,-3220.43,181.2,3588.25,-3039.23,549.02
16,1020.3,2414.92,2577.3,254.4,166.71,-254.52,-1792.92,-21834.23,926.15,20242.67,-3349.03,180.86,3720.79,-3168.17,552.62
17,1060.32,2345.62,2595.33,241.58,181.34,-246.25,-1788.8,-21901.78,902.03,20259.86,-3277.91,178.32,3649.24,-3099.59,549.65
18,1030.89,2345.15,2604.46,249.49,181.69,-271.61,-1796.41,-22033.25,907.43,20279.71,-3214.69,178.87,3497.54,-3035.82,461.72
19,986.58,2382.07,2592.97,251.86,181.99,-271.43,-1773.99,-21999.68,922.29,20243.14,-3224.93,181.38,3515.81,-3043.55,472.26
20,1007.8,2329.33,2572.45,247.35,161.93,-232.95,-1796.26,-22091.34,918.12,20267.61,-3150.59,173.89,3384.04,-2976.7,407.34
21,1060.52,2329.19,2607.13,244.29,179.23,-249.75,-1822.35,-21802.89,925.83,20095.75,-3201.4,179.36,3566.95,-3022.04,544.91
22,1034.55,2337.83,2575.27,244.87,170.49,-257.0,-1761.18,-22020.43,917.44,20221.87,-3127.91,178.29,3463.72,-2949.62,514.1
23,1026.91,2371.98,2599.82,248.06,174.3,-246.08,-1811.18,-22093.75,946.93,20217.22,-3079.7,172.71,3434.22,-2906.99,527.23
24,1080.1,2480.93,2599.23,252.21,189.48,-295.02,-1808.32,-21977.35,907.64,20126.54,-3119.08,175.62,3555.44,-2943.46,611.98
25,949.01,2291.62,2599.31,236.14,172.32,-290.56,-1855.04,-22059.42,934.26,20216.26,-3101.55,174.37,3193.91,-2927.18,266.73
26,970.18,2364.17,2591.23,240.46,174.71,-253.12,-1830.59,-22088.99,903.64,20263.11,-3111.44,173.05,3334.79,-2938.39,396.4
27,1032.12,2343.54,2580.13,251.01,181.63,-243.88,-1852.24,-22017.96,922.76,20201.98,-3121.75,171.87,3399.09,-2949.88,449.21
28,1032.58,2376.75,2612.37,241.67,168.44,-274.4,-1855.01,-22114.98,898.64,20181.28,-3004.44,168.44,3267.32,-2836.0,431.33
29,1008.12,2386.13,2603.7,240.5,178.67,-270.58,-1882.59,-22137.04,925.78,20209.26,-2987.42,165.5,3261.95,-2821.92,440.03
