Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,0.02,0.0,0.0,-0.02,0.0,0.01,-0.02,-0.01
2,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.03,-0.0,-0.02,0.03,0.01
3,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,0.03,-0.0,-0.0,-0.03,0.0,0.02,-0.03,-0.01
4,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.01,-0.17,-0.0,-0.0,0.17,-0.0,-0.18,0.17,-0.01
5,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.02,-0.09,0.0,-0.0,0.11,-0.0,-0.11,0.11,-0.0
6,-0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.22,0.0,-0.0,0.22,-0.0,-0.23,0.22,-0.01
7,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.01,-0.03,0.0,-0.0,0.04,-0.0,-0.05,0.04,-0.01
8,0.0,-0.0,0.0,0.0,0.0,0.0,-0.05,0.16,0.0,0.0,-0.07,0.0,0.11,-0.07,0.04
9,-0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.18,-0.0,-0.0,0.18,-0.0,-0.19,0.18,-0.0
10,-0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.02,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
11,0.0,-0.0,0.0,0.0,0.0,0.0,-0.01,-0.05,0.0,-0.0,0.05,-0.0,-0.06,0.05,-0.01
12,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.01,0.04,0.0,-0.0,-0.04,0.0,0.03,-0.04,-0.01
13,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.01,-0.03,0.0,-0.0,0.03,-0.0,-0.04,0.03,-0.01
14,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.01,0.03,-0.0,0.0,-0.03,0.0,0.02,-0.03,-0.01
15,0.0,-0.0,0.0,0.0,0.0,0.0,-0.01,-0.05,-0.0,-0.0,0.05,0.0,-0.06,0.05,-0.01
16,0.0,0.0,0.0,-0.0,0.0,0.0,-0.02,-0.19,0.0,-0.0,0.2,0.0,-0.21,0.2,-0.01
17,0.0,0.0,-0.0,0.0,0.0,0.0,-0.03,0.02,0.0,0.0,0.02,0.0,-0.01,0.02,0.01
18,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.19,-0.01,-0.0,-0.0,0.31,0.0,-0.2,0.31,0.1
19,-0.0,0.0,0.0,0.0,0.0,0.0,-0.17,-0.03,-0.0,0.0,0.35,0.0,-0.2,0.35,0.15
20,-0.0,0.0,0.0,0.0,0.0,0.0,-0.13,0.14,0.0,-0.0,0.13,0.0,0.01,0.13,0.15
21,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.81,-0.19,0.0,0.0,1.12,-0.01,-1.01,1.11,0.11
22,0.0,-0.0,0.0,0.0,0.0,0.0,-1.19,-0.38,0.0,-0.0,1.61,-0.06,-1.57,1.55,-0.02
23,-0.0,-0.0,-0.0,0.0,0.0,0.0,-7.15,-1.53,0.0,-0.0,6.9,-1.11,-8.68,5.79,-2.89
24,0.0,-0.0,-0.0,0.0,0.0,0.0,-13.06,-1.37,0.0,0.0,9.12,-1.53,-14.42,7.58,-6.84
25,-0.0,0.0,-0.0,-0.0,0.0,0.0,-16.1,-1.13,0.0,0.0,10.92,-1.9,-17.23,9.02,-8.22
26,0.0,0.0,-0.0,0.0,0.0,0.0,-21.82,-3.18,0.0,0.0,14.37,-2.64,-25.0,11.73,-13.27
27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-19.91,-2.89,-0.0,-0.0,14.86,-2.97,-22.8,11.89,-10.91
28,0.0,-0.0,-0.0,-0.0,0.0,0.0,-23.64,-2.72,-0.0,0.0,15.31,-2.94,-26.36,12.37,-13.99
29,0.0,-0.0,0.0,0.0,0.0,0.0,-26.42,-2.9,0.0,0.0,15.64,-3.16,-29.31,12.48,-16.84
30,0.0,0.0,0.0,0.0,0.0,0.0,-21.91,-2.37,0.0,-0.0,13.62,-2.72,-24.28,10.9,-13.38
31,-0.0,-0.0,0.0,-0.0,0.0,0.0,-24.62,-3.58,-0.0,0.0,15.9,-2.98,-28.2,12.92,-15.29
32,-0.0,0.0,0.0,-0.0,0.0,0.0,-25.87,-1.77,0.0,0.0,15.6,-3.04,-27.63,12.56,-15.07
33,0.0,0.0,-0.0,0.0,0.0,0.0,-24.7,-2.75,0.0,0.0,15.17,-2.94,-27.44,12.24,-15.21
34,0.0,0.0,-0.0,0.0,0.0,0.0,-23.83,-2.92,-0.0,0.0,17.03,-3.23,-26.75,13.8,-12.95
35,-0.0,-0.0,0.0,-0.0,0.0,0.0,-26.77,-4.77,-0.0,-0.0,16.57,-2.98,-31.55,13.59,-17.96
